"","hu4_zoneid","openwater2001_pct","developed_open2001_pct","developed_low2001_pct","developed_med2001_pct","developed_high2001_pct","barerock2001_pct","deciduous2001_pct","evergreen2001_pct","mixedforest2001_pct","scrubshrub2001_pct","grasslands_herbaceous2001_pct","pasture_hay2001_pct","rowcrops2001_pct","topo_rough_index_mean","topo_rough_index_max","roaddensity_mperha","streamdensity_mperha","lakes_overlapping_area_pct","wetlands_overlapping_area_pct","baseflow_mean","runoff_mean","groundwater_recharge","so4dep_1990_mean","so4dep_2010_mean","totalNdep_1990_mean","totalNdep_2010_mean","no3dep_1990_mean","no3dep_2010_mean","prism_ppt_mean","prism_tmean_mean","prism_tmax_mean","prism_tmin_mean","alluvial_pct","colluvial_pct","glaciofluvial_pct","till_loam_pct","till_sand_pct","till_clay_pct","so4dep_19902010_diff","totalNdep_19902010_diff","no3dep_19902010_diff"
"1","HU4_1",2.3733,0.7952,0.4307,0.1299,0.049,0.4726,16.231,20.9421,32.8009,10.4768,0.7635,0.9925,4.8414,0.5087,30.8159,7.5734,6.7175,2.1273,8.6474,51.5325,22.633,295.6302,15.1134,4.4256,3.7653,1.7825,10.7976,4.049,1058.3433,3.6599,9.2418,-1.927,0.9239,0,0.7481,59.8595,35.1923,0,10.6878,1.9828,6.7486
"2","HU4_10",6.7716,8.6368,10.847,10.007,3.0984,1.3684,26.3737,8.6757,3.2241,1.2072,1.1309,3.7382,1.3503,0.4542,19.8613,56.0911,9.8629,2.894,9.9418,57.049,24.672,353.7097,21.3233,7.7196,4.9128,3.1098,14.4932,7.4713,1241.9529,10.0176,15.0824,4.9478,0,0,14.4562,0,36.0973,0.0179,13.6037,1.803,7.0219
"3","HU4_11",2.3778,9.5117,5.9306,3.5819,0.8965,0.2133,51.3053,4.2563,4.7612,1.3555,0.2801,7.5505,0.8558,0.8125,28.4872,40.1253,13.3001,1.9402,5.8898,49.7178,25.1198,316.862,27.4619,7.7409,6.5764,3.1596,19.2,7.435,1247.0477,9.3886,14.9618,3.8104,0.272,0,1.4668,4.8391,78.493,0,19.721,3.4168,11.765
"4","HU4_12",2.6163,4.8317,1.9788,0.8458,0.2821,0.1563,39.3829,10.5348,10.1381,2.3239,0.6276,11.1678,5.3344,1.0084,335.4517,21.933,12.2806,1.6501,4.851,46.7442,23.6167,282.0482,27.5556,7.558,6.8876,3.1182,20.0312,7.1253,1174.4487,7.5265,13.2747,1.7732,0.6518,0,0.5831,48.1327,26.704,1.3301,19.9976,3.7694,12.9059
"5","HU4_13",21.7238,15.2758,10.9841,8.8165,4.6646,0.7333,21.7499,1.839,0.974,1.1591,0.349,2.9281,2.9845,0.5013,34.5339,58.6925,9.0678,1.4524,4.5165,50.2889,21.0449,265.1429,30.4775,9.1015,7.0734,3.704,20.768,8.3762,1222.8021,11.2828,16.2889,6.2717,4.2482,1.6255,15.6765,14.081,22.8019,4.0984,21.376,3.3694,12.3918
"6","HU4_16",7.4464,9.5968,5.3055,2.5848,1.1138,0.4489,35.7158,4.2339,5.0628,2.0352,0.3308,8.1932,8.4608,0.6863,78.7061,38.1812,12.5707,1.1342,NA,52.1144,22.7675,300.0688,27.7905,9.9727,6.5568,4.0876,19.0137,8.5423,1185.8311,10.4801,16.0499,4.9052,8.6112,5.7219,0.0851,34.354,0.7206,0.605,17.8178,2.4692,10.4714
"7","HU4_17",5.2567,4.9441,2.1809,0.7684,0.2828,0.1685,24.3925,3.8218,4.3149,7.1873,0.822,21.2012,15.1451,0.4618,38.4089,23.9897,11.3081,4.8797,7.1,54.5482,19.1525,263.382,33.083,9.8249,8.6725,4.0113,24.0515,7.7257,1037.0718,8.1667,13.4039,2.9245,0.094,0,3.2697,57.9313,0,3.6308,23.2581,4.6612,16.3258
"8","HU4_18",1.1438,5.1429,1.9169,0.6881,0.239,0.294,46.4103,4.7098,10.1994,1.7753,0.458,15.4328,10.3907,1.1763,257.5258,28.516,10.8888,0.3716,NA,45.1194,20.0049,228.6092,30.1877,9.7325,6.972,3.8641,19.8869,7.9464,1072.6206,8.7935,14.4848,3.0971,1.6107,17.6564,0.4431,39.5633,0,0.6139,20.4552,3.1079,11.9405
"9","HU4_2",5.0466,1.3316,0.579,0.2143,0.0802,0.5052,16.4544,22.8003,32.3181,7.3392,0.6141,0.8477,0.9605,0.5102,115.4964,9.1754,7.8059,4.7822,11.3061,50.2865,26.0229,331.6052,16.5739,5.2121,4.2741,2.0056,12.1482,4.7028,1130.3441,4.9599,10.7534,-0.8386,0,0,0.2027,37.3206,41.4813,0,11.3618,2.2685,7.4454
"10","HU4_20",0.7187,5.7448,2.4511,0.5842,0.1791,0.3223,55.0435,2.6116,2.0325,0.2206,0.0664,19.4353,10.1677,1.2599,139.6044,32.4936,13.5415,0.1497,NA,43.6993,16.3641,178.2885,24.989,7.8731,5.5692,3.1676,15.5539,6.8471,1029.6499,11.0081,17.0644,4.9468,1.6151,67.2101,0,0,0,0,17.1159,2.4016,8.7068
