lagoslakeid,groups
1,1
2,2
3,1
4,1
5,3
6,3
7,3
8,2
9,2
10,3
11,3
12,1
13,2
14,2
15,2
16,3
17,1
18,1
19,3
20,3
21,3
22,2
23,3
24,3
25,1
26,1
27,1
28,3
29,3
30,1
31,3
32,1
33,1
34,1
35,3
36,3
37,1
38,1
39,1
40,2
41,1
42,2
44,3
45,3
46,1
47,1
48,1
49,2
50,3
51,1
52,3
53,1
54,3
55,2
56,1
57,1
59,1
60,2
61,3
62,1
63,1
64,3
65,2
67,2
68,3
69,3
70,2
71,1
72,1
74,3
75,1
78,4
79,2
80,3
81,1
82,2
83,4
84,3
85,2
87,3
88,1
90,1
93,2
94,2
95,2
96,2
97,1
98,4
99,3
100,2
101,2
102,2
103,1
105,3
106,2
107,3
108,2
109,1
110,1
111,3
113,1
114,2
115,3
116,1
117,3
118,4
119,3
120,2
121,4
122,1
123,2
124,3
125,3
126,1
127,3
128,1
130,1
131,1
132,3
133,1
134,2
135,3
136,3
137,3
139,2
140,2
141,1
142,2
143,1
144,1
146,2
147,2
148,1
149,2
150,1
151,3
152,1
154,3
155,2
156,3
157,2
159,3
160,4
161,3
162,2
163,2
164,2
165,3
166,1
167,2
168,1
169,1
170,3
171,2
172,4
173,3
174,1
176,3
178,4
179,1
180,2
181,2
182,3
183,1
184,2
185,1
186,4
187,1
188,2
189,1
191,1
192,4
193,1
194,2
195,1
196,1
197,2
198,3
199,1
200,1
201,3
203,2
204,4
205,3
206,3
207,2
208,4
209,1
210,2
212,2
213,1
215,2
216,4
217,2
218,2
219,1
221,2
222,2
223,3
224,2
225,2
226,2
227,2
228,1
229,2
230,2
231,3
232,1
234,2
235,2
236,2
237,2
239,3
240,2
241,3
242,3
243,4
245,2
246,3
248,4
249,1
250,4
251,3
252,2
253,3
254,4
255,4
256,1
257,2
258,3
259,1
260,1
261,2
262,2
263,2
264,2
265,2
266,2
267,4
269,4
270,2
271,3
272,2
273,1
274,4
275,3
277,3
279,2
280,3
281,1
282,2
283,3
284,3
285,3
286,2
290,2
291,1
292,2
293,2
294,2
295,1
296,2
297,1
298,1
299,2
301,2
302,1
303,2
304,1
305,2
306,1
307,1
308,2
310,1
311,2
312,2
313,2
314,1
315,1
316,1
317,2
318,1
320,1
321,2
322,2
323,2
324,4
325,2
327,2
328,1
329,2
330,4
331,2
332,1
333,2
334,1
335,1
336,2
338,1
339,1
340,2
341,3
342,1
343,1
345,1
346,2
348,2
349,3
350,2
352,2
353,3
354,3
356,2
358,4
359,4
360,1
361,3
362,4
363,3
364,1
366,4
367,2
368,1
369,2
370,3
371,2
372,1
373,2
375,1
376,4
377,4
378,2
379,2
380,4
381,1
383,2
384,4
385,2
386,1
387,4
388,1
389,1
392,1
393,2
394,1
395,3
396,2
397,1
398,2
401,1
403,3
404,4
405,2
406,1
407,1
408,4
409,2
410,2
411,2
412,1
413,3
414,1
417,3
418,2
419,1
420,4
421,4
422,2
423,3
424,2
425,1
426,2
427,3
428,2
429,1
430,1
431,4
433,1
434,3
435,1
436,2
437,1
438,1
439,1
440,1
441,3
442,1
443,1
444,3
446,2
447,3
448,2
449,3
450,2
451,3
452,1
453,3
454,1
455,1
456,3
457,2
458,2
459,3
460,1
461,1
462,2
463,4
464,1
465,1
466,3
467,4
468,1
469,2
470,3
471,1
472,1
473,1
474,3
475,3
476,1
477,2
478,3
480,1
481,2
482,1
483,3
484,1
485,2
486,3
487,3
489,3
490,2
491,2
492,2
493,1
494,3
495,2
496,3
497,3
498,1
499,3
500,3
501,2
502,3
503,1
504,2
505,3
506,3
507,3
508,2
509,3
510,3
511,2
512,3
513,4
514,2
515,3
516,1
517,1
518,3
519,1
520,2
521,4
522,1
523,2
524,1
525,1
526,2
527,1
528,3
529,2
530,1
531,1
532,1
533,1
534,1
535,2
536,1
537,1
538,2
539,1
540,2
541,2
542,1
543,3
544,1
545,1
546,1
547,1
548,3
549,1
550,2
551,1
552,1
553,1
554,1
555,2
556,4
557,1
558,2
559,3
560,2
562,1
564,1
565,1
566,2
567,1
568,1
569,2
570,4
571,1
572,2
573,1
574,1
575,1
576,3
577,1
578,4
579,3
580,2
581,2
582,1
583,1
584,1
585,3
586,4
587,2
588,1
589,1
590,1
591,1
592,4
594,2
595,3
596,1
597,2
598,1
600,2
601,3
602,1
603,1
604,3
605,2
606,3
607,3
608,3
609,1
610,2
611,2
612,2
613,2
614,1
615,3
616,1
617,2
618,1
619,1
620,1
621,3
622,1
623,2
624,2
625,2
