"","lagoslakeid","secchi","TP","chla","color","TN","nYears_secchi","nYears_TP","nYears_TN","nYears_color","nYears_chla","hu12_zoneid","hu4_zoneid"
"1",2,6.1,7.5,NA,NA,NA,1,2,2,2,2,"HU12_16612","HU4_7"
"2",3,2.2,22,5.6,NA,NA,1,1,1,1,1,"HU12_16694","HU4_12"
"3",4,1.8,31,NA,NA,NA,1,1,1,1,1,"HU12_16625","HU4_10"
"4",5,1.95,NA,12.4,NA,NA,2,1,1,1,1,"HU12_16621","HU4_10"
"5",6,6.65,5.75,3.45,NA,NA,2,2,2,2,2,"HU12_16684","HU4_11"
"6",7,4.8,8.5,NA,NA,NA,2,2,2,2,2,"HU12_16614","HU4_10"
"7",8,5,5,6.2,NA,260,1,1,1,1,1,"HU12_16569","HU4_7"
"8",9,3.7,13,3.3,NA,NA,1,1,1,1,1,"HU12_16303","HU4_7"
"9",10,2.4,NA,14,NA,NA,2,1,1,1,1,"HU12_16303","HU4_7"
"10",11,1.3,38,4.7,NA,NA,1,1,1,1,1,"HU12_16641","HU4_10"
"11",12,3.25,NA,13,NA,NA,2,1,1,1,1,"HU12_16541","HU4_9"
"12",13,6.2,8,1.4,NA,NA,1,1,1,1,1,"HU12_16651","HU4_10"
"13",15,1.7,23,NA,NA,NA,1,1,1,1,1,"HU12_16617","HU4_10"
"14",16,0.6775,32.5,2.5,NA,NA,2,2,2,2,2,"HU12_16660","HU4_10"
"15",17,1.725,NA,NA,NA,NA,4,4,4,4,4,"HU12_16651","HU4_10"
"16",18,2.8,NA,18.65,NA,NA,2,2,2,2,2,"HU12_16738","HU4_10"
"17",19,3.5,9,NA,NA,NA,1,1,1,1,1,"HU12_16559","HU4_7"
"18",20,4.6,NA,1.39,NA,NA,1,1,1,1,1,"HU12_16671","HU4_10"
"19",21,2.875,NA,NA,NA,NA,2,2,2,2,2,"HU12_16539","HU4_9"
"20",22,11.7,6,1,NA,NA,1,1,1,1,1,"HU12_16651","HU4_10"
"21",23,1.5,21,NA,NA,NA,1,1,1,1,1,"HU12_16705","HU4_9"
"22",24,2.6,NA,37.5,NA,NA,1,1,1,1,1,"HU12_16646","HU4_10"
"23",25,3.4,NA,NA,NA,NA,2,2,2,2,2,"HU12_16625","HU4_10"
"24",26,4.2,NA,NA,NA,NA,1,1,1,1,1,"HU12_16646","HU4_10"
"25",28,3.2,NA,15.55,NA,NA,3,2,2,2,2,"HU12_16634","HU4_10"
"26",29,4.4,11,NA,NA,380,1,1,1,1,1,"HU12_16320","HU4_11"
"27",32,4.2,16,1.3,NA,NA,1,1,1,1,1,"HU12_16651","HU4_10"
"28",33,2.85,NA,NA,NA,NA,2,2,2,2,2,"HU12_16549","HU4_9"
"29",34,2.2,24,6.8,NA,NA,3,3,3,3,3,"HU12_16671","HU4_10"
"30",35,2.9,13,NA,NA,NA,1,1,1,1,1,"HU12_16744","HU4_7"
"31",36,5.8,NA,6.7,NA,NA,1,1,1,1,1,"HU12_16691","HU4_11"
"32",37,1.25,NA,NA,NA,NA,2,2,2,2,2,"HU12_16592","HU4_7"
"33",38,1.1,NA,3.15,NA,NA,2,2,2,2,2,"HU12_16714","HU4_7"
"34",40,5.3,9,NA,NA,NA,2,1,1,1,1,"HU12_16598","HU4_7"
"35",41,3.25,NA,NA,NA,NA,2,2,2,2,2,"HU12_16628","HU4_10"
"36",42,3.8,NA,4,NA,NA,1,1,1,1,1,"HU12_16319","HU4_11"
"37",44,0.85,39.5,NA,NA,NA,1,1,1,1,1,"HU12_16623","HU4_10"
"38",45,2.05,NA,11.9,NA,NA,1,1,1,1,1,"HU12_16564","HU4_7"
"39",46,3.2,NA,7.5,NA,NA,1,1,1,1,1,"HU12_16668","HU4_10"
"40",47,1.6,NA,NA,NA,430,1,1,1,1,1,"HU12_16568","HU4_7"
"41",48,4.2,5,4.4,NA,520,2,1,1,1,1,"HU12_16667","HU4_10"
"42",49,2.6,NA,NA,NA,NA,2,3,3,3,3,"HU12_16572","HU4_7"
"43",50,4.5,NA,NA,NA,NA,1,1,1,1,1,"HU12_16592","HU4_7"
"44",51,3.1,10,NA,NA,NA,1,1,1,1,1,"HU12_16612","HU4_7"
"45",52,0.6,426,21.2,NA,1469,1,1,1,1,1,"HU12_9006","HU4_13"
"46",53,0.9,38.41,25.5,NA,395,1,1,1,1,1,"HU12_16793","HU4_12"
"47",54,0.8,NA,3.72,NA,485,1,1,1,1,1,"HU12_9086","HU4_16"
"48",55,1.5,38.41,44.7,NA,640,1,1,1,1,1,"HU12_16807","HU4_16"
"49",56,1.15,18.5,3.095,NA,665.5,1,1,1,1,1,"HU12_9082","HU4_13"
"50",57,0.55,121.98,13.6,NA,884.5,1,1,1,1,1,"HU12_9118","HU4_16"
"51",58,0.4,176,131.8,NA,2631,1,1,1,1,1,"HU12_9174","HU4_16"
"52",62,0.3,NA,36.5,NA,NA,15,12,12,12,12,"HU12_10380","HU4_53"
"53",63,1.825,23,NA,NA,NA,2,2,2,2,2,"HU12_14365","HU4_26"
