"","lagoslakeid","tp","tn_combined","chla","sampledate","sampleyear","samplemonth","monthday","eventida1087","programname","secchi","var_num","hu4_zoneid","groups","random25_holdout","random75_holdout","hu4_ag50_holdout","hu4_random50_holdout","hu4_strat75_holdout","cluster_strat75_holdout","cluster_random50_holdout"
"1",1,NA,NA,NA,"2002-07-17",NA,NA,NA,NA,NA,1.3,1,"HU4_12",1,FALSE,TRUE,NA,TRUE,TRUE,TRUE,NA
"2",2,5,NA,3.9,"2006-07-13",2006,7,713,6,"MA_DEP_2005_2010",6.5,3,"HU4_7",2,TRUE,FALSE,NA,FALSE,TRUE,TRUE,NA
"3",3,27,NA,6.6,"2002-07-17",2002,7,717,9,"MA_DEP_CHEM",2.4,3,"HU4_12",1,FALSE,TRUE,NA,TRUE,TRUE,FALSE,NA
"4",4,36,NA,44.2,"2004-08-03",2004,8,803,13,"MA_DEP_CHEM",0.95,3,"HU4_10",1,TRUE,TRUE,NA,FALSE,FALSE,FALSE,NA
"5",5,NA,NA,12.4,"2003-09-15",2003,9,915,17,"MA_DEP_CHEM",1.4,2,"HU4_10",3,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
"6",6,7,NA,2.6,"2004-07-13",2004,7,713,19,"MA_DEP_CHEM",5.4,3,"HU4_11",3,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
"7",7,8,NA,11.8,"2003-09-15",2003,9,915,22,"MA_DEP_CHEM",5.1,3,"HU4_10",3,TRUE,TRUE,NA,FALSE,FALSE,TRUE,NA
"8",8,5,260,6.2,"2003-09-08",2003,9,908,24,"MA_DEP_CHEM",5,4,"HU4_7",2,FALSE,TRUE,NA,FALSE,FALSE,TRUE,NA
"9",9,17,NA,2.6,"2001-06-19",2001,6,619,25,"MA_DEP_CHEM",4.6,3,"HU4_7",2,FALSE,TRUE,NA,FALSE,FALSE,FALSE,NA
"10",10,NA,NA,14,"2003-08-25",2003,8,825,31,"MA_DEP_CHEM",2.1,2,"HU4_7",3,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
"11",11,34,NA,4.7,"2001-06-26",2001,6,626,32,"MA_DEP_CHEM",1.3,3,"HU4_10",3,FALSE,TRUE,NA,FALSE,FALSE,TRUE,NA
"12",12,NA,NA,13,"2003-07-29",2003,7,729,35,"MA_DEP_CHEM",2.6,2,"HU4_9",1,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
"13",13,8,NA,1.4,"2004-06-21",2004,6,621,36,"MA_DEP_CHEM",6.2,3,"HU4_10",2,TRUE,TRUE,NA,FALSE,FALSE,TRUE,NA
"14",14,NA,NA,NA,"2001-06-28",NA,NA,NA,NA,NA,2.5,1,"HU4_9",2,TRUE,TRUE,NA,FALSE,TRUE,FALSE,NA
"15",15,23,NA,NA,"2003-09-15",2003,9,915,43,"MA_DEP_CHEM",NA,1,"HU4_10",2,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
"16",16,24,840,3.9,"2010-07-22",2010,7,722,47,"MA_DEP_2005_2010",0.8,4,"HU4_10",3,TRUE,TRUE,NA,FALSE,FALSE,TRUE,NA
"17",17,21,390,15.4,"2009-09-03",2009,9,903,59,"MA_DEP_2005_2010",1.9,4,"HU4_10",1,FALSE,FALSE,NA,FALSE,FALSE,TRUE,NA
"18",18,24,NA,11.3,"2002-06-18",2002,6,618,61,"MA_DEP_CHEM",2.4,3,"HU4_10",1,TRUE,TRUE,NA,FALSE,TRUE,TRUE,NA
"19",19,9,NA,NA,"2003-09-03",2003,9,903,65,"MA_DEP_CHEM",3.5,2,"HU4_7",3,TRUE,TRUE,NA,FALSE,FALSE,FALSE,NA
"20",21,23,NA,2,"2001-06-26",2001,6,626,73,"MA_DEP_CHEM",3.15,3,"HU4_9",3,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
"21",22,6,NA,1,"2004-07-21",2004,7,721,78,"MA_DEP_CHEM",11.7,3,"HU4_10",2,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
"22",23,25,NA,12,"1999-07-14",1999,7,714,80,"MA_DEP_CHEM",1.5,3,"HU4_9",3,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
"23",24,NA,NA,37.5,"2003-07-22",2003,7,722,83,"MA_DEP_CHEM",2.6,2,"HU4_10",3,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
"24",25,16,NA,7,"2004-08-03",2004,8,803,86,"MA_DEP_CHEM",3.3,3,"HU4_10",1,TRUE,TRUE,NA,FALSE,FALSE,TRUE,NA
"25",26,NA,NA,NA,"2003-07-22",2003,7,722,89,"MA_DEP_CHEM",4.2,1,"HU4_10",1,FALSE,TRUE,NA,FALSE,FALSE,TRUE,NA
"26",27,NA,NA,NA,"2002-07-31",NA,NA,NA,NA,NA,3.4,1,"HU4_11",1,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
"27",28,10,NA,5.5,"2002-07-11",2002,7,711,92,"MA_DEP_CHEM",5.2,3,"HU4_10",3,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
"28",29,11,380,NA,"2003-08-25",2003,8,825,97,"MA_DEP_CHEM",4.4,3,"HU4_11",3,TRUE,FALSE,NA,FALSE,FALSE,TRUE,NA
