"lagoslakeid","tp","tn_combined","chla","sampledate","sampleyear","samplemonth","monthday","eventida1087","programname","secchi","var_num","hu4_zoneid","random25_holdout","random75_holdout","hu4_ag50_holdout","hu4_random50_holdout","hu4_strat75_holdout"
1,NA,NA,NA,2002-07-17,NA,NA,NA,NA,NA,1.3,1,"HU4_12",FALSE,TRUE,FALSE,TRUE,TRUE
2,5,NA,3.9,2006-07-13,2006,7,"0713",6,"MA_DEP_2005_2010",6.5,3,"HU4_7",FALSE,TRUE,FALSE,TRUE,FALSE
3,27,NA,6.6,2002-07-17,2002,7,"0717",9,"MA_DEP_CHEM",2.4,3,"HU4_12",FALSE,FALSE,FALSE,TRUE,TRUE
4,36,NA,44.2,2004-08-03,2004,8,"0803",13,"MA_DEP_CHEM",0.95,3,"HU4_10",FALSE,FALSE,FALSE,FALSE,TRUE
5,NA,NA,12.4,2003-09-15,2003,9,"0915",17,"MA_DEP_CHEM",1.4,2,"HU4_10",FALSE,FALSE,FALSE,FALSE,FALSE
6,7,NA,2.6,2004-07-13,2004,7,"0713",19,"MA_DEP_CHEM",5.4,3,"HU4_11",FALSE,TRUE,FALSE,TRUE,TRUE
7,8,NA,11.8,2003-09-15,2003,9,"0915",22,"MA_DEP_CHEM",5.1,3,"HU4_10",TRUE,TRUE,FALSE,FALSE,FALSE
8,5,260,6.2,2003-09-08,2003,9,"0908",24,"MA_DEP_CHEM",5,4,"HU4_7",TRUE,FALSE,FALSE,TRUE,TRUE
9,17,NA,2.6,2001-06-19,2001,6,"0619",25,"MA_DEP_CHEM",4.6,3,"HU4_7",FALSE,FALSE,FALSE,TRUE,TRUE
10,NA,NA,14,2003-08-25,2003,8,"0825",31,"MA_DEP_CHEM",2.1,2,"HU4_7",TRUE,FALSE,FALSE,TRUE,FALSE
11,34,NA,4.7,2001-06-26,2001,6,"0626",32,"MA_DEP_CHEM",1.3,3,"HU4_10",FALSE,FALSE,FALSE,FALSE,TRUE
12,NA,NA,13,2003-07-29,2003,7,"0729",35,"MA_DEP_CHEM",2.6,2,"HU4_9",FALSE,TRUE,FALSE,FALSE,FALSE
13,8,NA,1.4,2004-06-21,2004,6,"0621",36,"MA_DEP_CHEM",6.2,3,"HU4_10",FALSE,TRUE,FALSE,FALSE,TRUE
14,NA,NA,NA,2001-06-28,NA,NA,NA,NA,NA,2.5,1,"HU4_9",FALSE,TRUE,FALSE,FALSE,TRUE
15,23,NA,NA,2003-09-15,2003,9,"0915",43,"MA_DEP_CHEM",NA,1,"HU4_10",FALSE,TRUE,FALSE,FALSE,FALSE
16,24,840,3.9,2010-07-22,2010,7,"0722",47,"MA_DEP_2005_2010",0.8,4,"HU4_10",FALSE,FALSE,FALSE,FALSE,TRUE
17,21,390,15.4,2009-09-03,2009,9,"0903",59,"MA_DEP_2005_2010",1.9,4,"HU4_10",FALSE,FALSE,FALSE,FALSE,TRUE
18,24,NA,11.3,2002-06-18,2002,6,"0618",61,"MA_DEP_CHEM",2.4,3,"HU4_10",TRUE,TRUE,FALSE,FALSE,FALSE
19,9,NA,NA,2003-09-03,2003,9,"0903",65,"MA_DEP_CHEM",3.5,2,"HU4_7",FALSE,TRUE,FALSE,TRUE,FALSE
21,23,NA,2,2001-06-26,2001,6,"0626",73,"MA_DEP_CHEM",3.15,3,"HU4_9",FALSE,FALSE,FALSE,FALSE,TRUE
22,6,NA,1,2004-07-21,2004,7,"0721",78,"MA_DEP_CHEM",11.7,3,"HU4_10",FALSE,TRUE,FALSE,FALSE,TRUE
23,25,NA,12,1999-07-14,1999,7,"0714",80,"MA_DEP_CHEM",1.5,3,"HU4_9",FALSE,TRUE,FALSE,FALSE,TRUE
24,NA,NA,37.5,2003-07-22,2003,7,"0722",83,"MA_DEP_CHEM",2.6,2,"HU4_10",FALSE,TRUE,FALSE,FALSE,FALSE
25,16,NA,7,2004-08-03,2004,8,"0803",86,"MA_DEP_CHEM",3.3,3,"HU4_10",FALSE,TRUE,FALSE,FALSE,TRUE
26,NA,NA,NA,2003-07-22,2003,7,"0722",89,"MA_DEP_CHEM",4.2,1,"HU4_10",FALSE,TRUE,FALSE,FALSE,FALSE
27,NA,NA,NA,2002-07-31,NA,NA,NA,NA,NA,3.4,1,"HU4_11",FALSE,TRUE,FALSE,TRUE,FALSE
28,10,NA,5.5,2002-07-11,2002,7,"0711",92,"MA_DEP_CHEM",5.2,3,"HU4_10",TRUE,TRUE,FALSE,FALSE,TRUE
29,11,380,NA,2003-08-25,2003,8,"0825",97,"MA_DEP_CHEM",4.4,3,"HU4_11",FALSE,TRUE,FALSE,TRUE,TRUE
31,NA,NA,NA,2003-08-11,NA,NA,NA,NA,NA,5.3,1,"HU4_9",FALSE,TRUE,FALSE,FALSE,TRUE
32,16,NA,1.3,2004-06-22,2004,6,"0622",100,"MA_DEP_CHEM",5.4,3,"HU4_10",TRUE,TRUE,FALSE,FALSE,TRUE
33,22,NA,11,1999-07-13,1999,7,"0713",104,"MA_DEP_CHEM",2.4,3,"HU4_9",FALSE,FALSE,FALSE,FALSE,FALSE
34,27,560,6.5,2009-06-24,2009,6,"0624",111,"MA_DEP_2005_2010",2.1,4,"HU4_10",FALSE,FALSE,FALSE,FALSE,TRUE
35,43,NA,1.4,2000-07-19,2000,7,"0719",118,"MA_DEP_CHEM",1.25,3,"HU4_7",FALSE,FALSE,FALSE,TRUE,TRUE
36,NA,NA,6.7,2003-08-26,2003,8,"0826",121,"MA_DEP_CHEM",5.8,2,"HU4_11",FALSE,TRUE,FALSE,TRUE,TRUE
37,NA,NA,35.1,2003-08-20,2003,8,"0820",126,"MA_DEP_CHEM",1.4,2,"HU4_7",FALSE,TRUE,FALSE,TRUE,TRUE
38,34,NA,4.3,2000-07-18,2000,7,"0718",130,"MA_DEP_CHEM",1.5,3,"HU4_7",FALSE,TRUE,FALSE,TRUE,TRUE
39,NA,NA,NA,2001-06-27,NA,NA,NA,NA,NA,2,1,"HU4_10",TRUE,FALSE,FALSE,FALSE,TRUE
40,9,NA,NA,2005-09-06,2005,9,"0906",138,"MA_DEP_2005_2010",5.5,2,"HU4_7",FALSE,TRUE,FALSE,TRUE,TRUE
41,17,NA,19.4,2002-08-07,2002,8,"0807",140,"MA_DEP_CHEM",2.4,3,"HU4_10",FALSE,FALSE,FALSE,FALSE,TRUE
42,NA,NA,4,2003-08-26,2003,8,"0826",143,"MA_DEP_CHEM",3.8,2,"HU4_11",FALSE,TRUE,FALSE,TRUE,TRUE
44,45,NA,63,2002-07-30,2002,7,"0730",144,"MA_DEP_CHEM",0.6,3,"HU4_10",TRUE,TRUE,FALSE,FALSE,TRUE
45,NA,NA,11.9,2003-07-09,2003,7,"0709",146,"MA_DEP_CHEM",2.05,2,"HU4_7",FALSE,TRUE,FALSE,TRUE,TRUE
46,NA,NA,7.5,2003-09-10,2003,9,"0910",147,"MA_DEP_CHEM",3.2,2,"HU4_10",FALSE,TRUE,FALSE,FALSE,TRUE
47,NA,430,NA,2003-08-14,2003,8,"0814",148,"MA_DEP_CHEM",1.6,2,"HU4_7",FALSE,TRUE,FALSE,TRUE,TRUE
48,5,520,4.4,2003-09-10,2003,9,"0910",149,"MA_DEP_CHEM",4.5,4,"HU4_10",FALSE,TRUE,FALSE,FALSE,TRUE
49,9,NA,1,2000-07-19,2000,7,"0719",152,"MA_DEP_CHEM",2.2,3,"HU4_7",TRUE,TRUE,FALSE,TRUE,TRUE
50,18,NA,7,2003-06-17,2003,6,"0617",158,"MA_DEP_CHEM",3.3,3,"HU4_7",FALSE,TRUE,FALSE,TRUE,TRUE
51,10,NA,NA,1996-08-07,1996,8,"0807",164,"MA_DEP_CHEM",NA,1,"HU4_7",TRUE,TRUE,FALSE,TRUE,TRUE
52,426,1469,21.2,2007-07-12,2007,7,"0712",169,"NJ_DEP_CHEM",0.6,4,"HU4_13",FALSE,FALSE,FALSE,TRUE,FALSE
53,38.41,395,25.5,2005-08-10,2005,8,"0810",171,"NJ_DEP_CHEM",0.9,4,"HU4_12",FALSE,TRUE,FALSE,TRUE,TRUE
54,NA,485,3.72,2007-09-11,2007,9,"0911",175,"NJ_DEP_CHEM",0.8,3,"HU4_16",FALSE,TRUE,FALSE,FALSE,TRUE
55,38.41,640,44.7,2005-08-17,2005,8,"0817",177,"NJ_DEP_CHEM",1.5,4,"HU4_16",FALSE,TRUE,FALSE,FALSE,TRUE
56,16,675,3.23,2009-06-16,2009,6,"0616",180,"NJ_DEP_CHEM",1.1,4,"HU4_13",TRUE,FALSE,FALSE,TRUE,TRUE
57,62.56,1115,5.3,2005-07-20,2005,7,"0720",182,"NJ_DEP_CHEM",0.5,4,"HU4_16",TRUE,TRUE,FALSE,FALSE,FALSE
59,268,NA,54.5,1995-07-13,1995,7,"0713",188,"MN_MPCA_CHEM",NA,2,"HU4_55",FALSE,TRUE,TRUE,TRUE,TRUE
62,95,1240,40.1,1995-07-11,1995,7,"0711",199,"MN_MPCA_CHEM",0.5,4,"HU4_53",FALSE,FALSE,TRUE,TRUE,TRUE
63,20,561,NA,2007-08-03,2007,8,"0803",261,"EPA_NLA_CHEM",1.6,3,"HU4_26",TRUE,TRUE,FALSE,FALSE,TRUE
64,84,1210,29.9,1996-06-24,1996,6,"0624",270,"MN_MPCA_CHEM",1.6,4,"HU4_55",FALSE,TRUE,TRUE,TRUE,TRUE
65,10,546,1.88,1994-08-16,1994,8,"0816",295,"IN_chemistry",3.3,4,"HU4_38",TRUE,TRUE,TRUE,FALSE,TRUE
67,54,920,7.69,1991-07-11,1991,7,"0711",308,"MN_MPCA_CHEM",5.1,4,"HU4_25",FALSE,TRUE,FALSE,FALSE,TRUE
69,23,304,0.1,2001-07-31,2001,7,"0731",338,"IN_chemistry",5.9,4,"HU4_38",FALSE,TRUE,TRUE,FALSE,FALSE
70,47,NA,25.7,2007-07-29,2007,7,"0729",339,"WI_DNR_NUTRIENT",0.95,3,"HU4_29",FALSE,TRUE,FALSE,TRUE,TRUE
71,390,NA,186,1990-06-20,1990,6,"0620",348,"MN_MPCA_CHEM",0.3,3,"HU4_61",TRUE,TRUE,TRUE,TRUE,FALSE
72,914,2990,325,1995-07-31,1995,7,"0731",389,"MN_MPCA_CHEM",0.3,4,"HU4_53",FALSE,FALSE,TRUE,TRUE,TRUE
73,7,345,1.64,1991-08-01,1991,8,"0801",491,"MN_MPCA_CHEM",NA,3,"HU4_26",FALSE,TRUE,FALSE,FALSE,TRUE
74,161,1870,62.9,1994-07-20,1994,7,"0720",538,"MN_MPCA_CHEM",0.75,4,"HU4_55",TRUE,TRUE,TRUE,TRUE,TRUE
75,413,2990,164,1995-07-31,1995,7,"0731",552,"MN_MPCA_CHEM",0.5,4,"HU4_53",TRUE,TRUE,TRUE,TRUE,TRUE
79,10,920,7.05,1991-07-08,1991,7,"0708",757,"MN_MPCA_CHEM",2,4,"HU4_25",FALSE,TRUE,FALSE,FALSE,TRUE
80,NA,NA,6,2011-07-07,2011,7,"0707",783,"MN_MPCA_CHEM_1999_2012",1.2,2,"HU4_54",FALSE,TRUE,TRUE,TRUE,FALSE
